method,mean_abs_error,rms_error,samples
CTSVI_AD,1.3560808400399732e-05,1.7564036470685873e-05,40001
ATSVI_AD,1.2424393565107528e-05,1.562768569690796e-05,40001
ETSVI,2.2497218555977385e-08,4.9662050814575526e-08,40001
