method,mean_abs_error,rms_error,samples
CTSVI_AD,5.914441061932361e-05,6.862992856729704e-05,4001
ATSVI_AD,3.8109724351387927e-07,3.994358518584809e-07,4001
ETSVI,2.0300774953414784e-06,3.1986897456656844e-06,4001
