method,mean_abs_error,rms_error,samples
CTSVI_AD,0.004466792081174044,0.005404610498863678,5334
ATSVI_AD,5.180987395074169e-07,5.881106861309117e-07,5334
ETSVI,0.00031460163448641503,0.0005240124803955966,5334
