method,mean_abs_error,rms_error,samples
CTSVI_AD,0.001789532236511018,0.002352642332825927,10001
ATSVI_AD,5.631117992732776e-07,7.443310225771668e-07,10001
ETSVI,0.00027467598899012845,0.0005222016985928245,10001
